pretty_formula,mv_B,gamma,LUMO,mv_A,rA,formation_energy_per_atom,B_dipole_polarizability,HOMO,B_valence,A_O_bond,air_B,band_gap,B_specific_heat,B_ionenergies,target
SnO2,16.29,90,-0.338381,16.29,1.45,-2.123390066,53,-0.338381,4,2.09221,0.83,0.6475,0.222,7.343917,0
ZnO,9.16,120,-0.222725,9.16,1.35,-1.798659443,38.67,-0.338381,12,2.004229,0.88,0.7316,0.388,9.394199,0
NiO,6.59,60,-0.338381,6.59,1.35,-1.037390508,49,-0.338381,10,2.10831,0.74,2.3071,0.443,7.639877,1
Cr2O3,7.23,60,-0.118123,7.23,1.4,-2.381365091,83,-0.118123,6,2.00865,0.94,2.4343,0.488,6.76651,1
WO3,9.47,90,-0.220603,9.47,1.35,-2.17466446,68,-0.338381,6,1.837439,0.766666667,1.1456,0.133,7.86403,1
CuO,7.11,90,-0.202272,7.11,1.35,-0.797657974,46.5,-0.202272,11,2.494024,0.82,0.1518,0.385,7.72638,1
In2O3,15.76,90,-0.290497,15.76,1.55,-1.762641067,65,-0.338381,3,2.546919,0.94,0.1122,0.234,5.7863552,1
SmFeO3,7.09,90,-0.21776,19.98,1.85,-2.908706517,62,-0.295049,8,2.76418011,0.8525,1.5178,0.443,7.9024678,1
LaFeO3,7.09,60.86586797,-0.295049,22.39,1.95,-2.665700314,62,-0.295049,8,2.39325955,0.8525,1.7483,0.443,7.9024678,1
Ta2CoO6,17.36,89.99861051,-0.322368,6.67,1.35,-2.950154697,55,-0.322368,9,3.044291561,1.26,2.531,0.456,7.88101,1
Fe2NiO4,6.59,60,-0.295049,7.09,1.4,-1.682462036,49,-0.295049,10,2.04582039,0.74,1.3682,0.443,7.639877,1
Zn(FeO2)2,7.09,60.15547068,-0.295049,9.16,1.35,-1.826304405,62,-0.295049,8,1.964950639,0.8525,1.6195,0.443,7.9024678,1
LaCoO3,6.67,60.89372262,-0.322368,22.39,1.95,-2.613836522,55,-0.322368,9,2.373517622,0.768333333,1.0058,0.456,7.88101,0
SrMnO3,7.35,120.0000554,-0.26654,33.94,2,-2.152495064,68,-0.26654,7,2.761874738,0.648333333,1.0065,0.477,7.434018,1
ZnWO4,9.47,90,-0.222725,9.16,1.35,-2.009778236,68,-0.338381,6,2.237064554,0.766666667,3.5523,0.133,7.86403,0
V2Co3O8,6.67,117.482295,-0.322368,8.32,1.35,-1.682426446,55,-0.322368,9,1.735798134,0.768333333,1.7421,0.456,7.88101,1
ZnCr2O4,7.23,119.9930204,-0.118123,9.16,1.35,-1.468122706,83,-0.150445,6,2.002216846,0.94,1.642,0.488,6.76651,1
Mn2CdO4,13,90.12982614,-0.26654,7.35,1.4,-1.882550621,46,-0.26654,12,1.966684158,1.09,0.8878,0.232,8.993822,1
Cr2CdO4,13,60.00000116,-0.118123,7.23,1.4,-2.161974481,46,-0.150445,12,2.044188068,1.09,2.4816,0.232,8.993822,1
Cr2NiO4,6.59,90.10557082,-0.150445,7.23,1.4,-1.99281776,49,-0.150445,10,2.013466124,0.74,2.4279,0.443,7.639877,1
MnCr2O4,7.23,60.1208647,-0.191136,7.35,1.4,-2.351671131,83,-0.191136,6,2.064669132,0.94,2.3763,0.488,6.76651,1
Nb2CoO6,6.67,90,-0.322368,10.83,1.45,-2.661270924,55,-0.322368,9,1.843187367,0.768333333,1.3073,0.456,7.88101,1
Nb2ZnO6,9.16,90,-0.222725,10.83,1.45,-2.775001519,38.67,-0.338381,12,1.836694914,0.88,3.2709,0.388,9.394199,0
La2NiO4,6.59,89.99891409,-0.338381,22.39,1.95,-3.023306243,49,-0.338381,10,2.326303745,0.74,1.5036,0.443,7.639877,0
Ta2Zn3O8,9.16,87.06026848,-0.222725,10.85,1.45,-2.643059846,38.67,-0.338381,12,1.911211373,0.88,3.5074,0.388,9.394199,0
CoWO4,9.47,89.23796235,-0.322368,6.67,1.35,-1.957518823,68,-0.322368,6,2.098916841,0.766666667,2.2831,0.133,7.86403,0
V2Zn3O8,9.16,117.7238832,-0.222725,8.32,1.35,-2.088481584,38.67,-0.338381,12,1.729886115,0.88,2.7096,0.388,9.394199,0
V2Ni3O8,6.59,117.4738067,-0.338381,8.32,1.35,-1.791754194,49,-0.338381,10,1.730867188,0.74,2.5737,0.443,7.639877,0
Zn2SnO4,16.29,60,-0.338381,9.16,1.35,-1.821386169,53,-0.338381,4,2.133117697,0.83,0.4114,0.222,7.343917,0
V2Cd2O7,13,98.20671246,-0.204634,8.32,1.35,-2.09315895,46,-0.338381,12,1.731863232,1.09,2.5472,0.232,8.993822,0
CoMoO4,9.38,85.26845478,-0.322368,6.67,1.35,-1.581597681,87,-0.322368,6,2.017030367,0.775,1.9885,0.251,7.09243,0
ZnMoO4,9.38,90.957856,-0.222725,9.16,1.35,-1.985142524,87,-0.338381,6,2.041753724,0.775,3.5378,0.251,7.09243,0
Fe2NiO4,6.59,60,-0.295049,7.09,1.4,-1.682462036,49,-0.295049,10,2.04582039,0.74,1.3682,0.443,7.639877,1
CdMoO4,9.38,90,-0.204228,13,1.55,-1.888624317,87,-0.338381,6,2.446129706,0.775,2.4709,0.251,7.09243,0
TiZnO3,9.16,90,-0.222725,10.64,1.4,-2.80187569,38.67,-0.338381,12,1.921544,0.88,2.9845,0.388,9.394199,0
TiNiO3,6.59,117.4146279,-0.338381,10.64,1.4,-2.492909425,49,-0.338381,10,1.772514871,0.74,1.5112,0.443,7.639877,0
VBiO4,21.31,63.99888125,-0.204634,8.32,1.35,-2.142996532,48,-0.338381,5,1.698844609,1.035,2.2378,0.124,7.285516,0
CdWO4,9.47,92.09542192,-0.220603,13,1.55,-1.990506863,68,-0.338381,6,2.271011675,0.766666667,3.2559,0.133,7.86403,0
LaMnO3,7.35,90,-0.26654,22.39,1.95,-2.387937073,68,-0.26654,7,2.534899904,0.648333333,0.9616,0.477,7.434018,0
V2O5,8.32,90,-0.204634,8.32,1.35,-2.295243849,87,-0.338381,5,1.609841,0.7775,2.166,0.485,6.746187,1
MoO3,9.38,90,-0.153347,9.38,1.45,-2.018161948,87,-0.338381,6,1.778721,0.775,1.3723,0.251,7.09243,0
Al2O3,10,60,-0.286883,10,1.25,-3.43572833,57.8,-0.338381,3,1.873219,0.675,5.8537,0.9,5.9857684,0
Ga2O3,11.8,90,-0.328019,11.8,1.3,-2.278169651,50,-0.338381,3,1.967048,0.76,2.0084,0.372,5.9993018,0
MnWO4,17.36,90.0008339,-0.26654,7.35,1.4,-2.214452725,68,-0.26654,6,3.398330453,1.26,2.3193,0.133,7.86403,0
CrFeO4,7.09,84.83128828,-0.295049,7.23,1.4,-1.379729191,62,-0.295049,8,1.681394358,0.8525,0.6675,0.443,7.9024678,0
LaCrO3,7.23,90.00002052,-0.141085,22.39,1.95,-3.11714152,83,-0.141085,6,2.403642722,0.94,1.9218,0.488,6.76651,0
CaZrO3,14.02,90,-0.162391,26.2,1.8,-3.655214443,112,-0.338381,4,2.343980467,0.86,3.4707,0.281,6.6339,0
Zn(GaO2)2,11.8,60,-0.328019,9.16,1.35,-2.185731776,50,-0.338381,3,2.003122779,0.76,2.3123,0.372,5.9993018,0
SmMn2O5,7.35,90,-0.26654,19.98,1.85,-1.795096188,68,-0.26654,7,2.382487453,0.648333333,1.1011,0.477,7.434018,0
SrMoO4,9.38,90.00000001,-0.153347,33.94,2,-2.730392237,87,-0.338381,6,2.614896703,0.775,3.8074,0.251,7.09243,0
MnNb2O6,10.83,90,-0.26654,7.35,1.4,-2.59077434,98,-0.26654,5,2.167901418,0.82,2.5103,0.268,6.75885,0
Ta2NiO6,6.59,90,-0.338381,10.85,1.45,-2.519617888,49,-0.338381,10,1.987164981,0.74,2.7623,0.443,7.639877,0
Mn2CdO4,13,90.12982614,-0.26654,7.35,1.4,-1.882550621,46,-0.26654,12,1.966684158,1.09,0.8878,0.232,8.993822,0
MgAl2O4,10,90,-0.286883,14,1.5,-3.361409432,57.8,-0.338381,3,2.110338961,0.675,4.5557,0.9,5.9857684,0
TiO2,17.36,107.0181414,-0.17001,17.36,0.6,-3.511964735,100,-0.338381,4,1.781132,1.26,2.6786,0.523,6.82812,0
Fe2O3,7.09,60,-0.295049,7.09,1.4,-1.907358343,62,-0.295049,8,1.979837,0.8525,1.5284,0.443,7.9024678,1
NbAgO3,10.27,90,-0.157407,10.83,1.45,-2.179087173,55,-0.298706,11,1.891693318,1.086666667,1.0675,0.237,7.576234,0
Nb2CdO6,13,90,-0.204228,10.83,1.45,-2.728648699,46,-0.338381,12,1.826069455,1.09,3.424,0.232,8.993822,0
SrCrO3,7.23,90,-0.131793,33.94,2,-2.547694114,83,-0.150445,6,2.752907071,0.94,0.0312,0.488,6.76651,0
NbCoO4,6.67,107.3968286,-0.322368,10.83,1.45,-2.314196317,55,-0.322368,9,1.8103803,0.768333333,1.591,0.456,7.88101,0
Co2SnO4,16.29,60.62176822,-0.322368,6.67,1.35,-1.178858559,53,-0.322368,4,2.023173649,0.83,0,0.222,7.343917,0
CuFe2O4,7.11,119.7693488,-0.295049,7.09,1.4,-1.552464289,46.5,-0.295049,11,2.014061497,0.82,0,0.385,7.72638,0
ZnMn2O4,9.16,90.12464979,-0.26654,7.35,1.4,-1.904730649,38.67,-0.26654,12,1.95884323,0.88,0,0.388,9.394199,0
CoMn2O4,6.67,89.99996054,-0.26654,7.35,1.4,-1.887913209,55,-0.26654,9,1.955932664,0.768333333,0.8007,0.456,7.88101,0
TiCoO3,17.36,119.9700125,-0.322368,6.67,1.35,-2.683511525,55,-0.322368,9,2.960407244,1.26,0,0.456,7.88101,1
